pcode,name
2306,Oil-cake and other solid residues
2307,Wine lees; argol.
2308,Vegetable materials and vegetable waste
2309,Preparations of a kind used in animal feeding.
2401,Unmanufactured tobacco; tobacco refuse.
2402,"Cigars, cheroots, cigarillos and cigarettes"
2403,Other manufactured tobacco and tobacco substitutes
2501,Salt (including table salt)
2502,Unroasted iron pyrites.
2503,Sulphur of all kinds
2504,Natural graphite.
2505,Natural sands of all kinds
2506,Quartz (other than natural sands); quartzite
2507,"Kaolin and other kaolinic clays, whether or not calcined."
2508,"Other clays (not including expanded clays of heading 68.06), andalusite, ky ..."
2509,Chalk.
2510,Natural calcium phosphates
2511,Natural barium sulphate (barytes)
2512,Siliceous fossil meals
2513,Pumice stone; emery; other natural abrasives
2514,Slate
2515,"Marble, travertine, ecaussine and other stone"
2516,"Granite, porphyry, basalt, sandstone and other stone"
2517,"Pebbles, gravel, broken or crushed stone"
2518,"Dolomite, whether or not calcined or sintered"
2519,Natural magnesium carbonate (magnesite)
2520,Gypsum; anhydrite; plasters
2521,Limestone flux; limestone
2522,"Quicklime, slaked lime and hydraulic lime"
2523,"Portland cement, aluminous cement, slag cement"
2524,Asbestos.
2525,"Mica, including splitings; mica waste."
2526,"Natural steatite, whether or not roughly trimmed"
2528,Natural borates and concentrates thereof
2529,Felspar; leucite and nepheline syenite
2530,Mineral substances
2601,Iron ores and concentrates
2602,Manganese ores and concentrates
2603,Copper ores and concentrates.
2604,Nickel ores and concentrates.
2605,Cobalt ores and concentrates.
2606,Aluminium ores and concentrates.
2607,Lead ores and concentrates.
2608,Zinc ores and concentrates.
2609,Tin ores and concentrates.
2610,Chromium ores and concentrates.
2611,Tungsten ores and concentrates.
2612,Uranium or thorium ores and concentrates.
2613,Molybdenum ores and concentrates.
2614,Titanium ores and concentrates.
2615,"Niobium, tantalum, vanadium and concentrates."
2616,Precious metal ores and concentrates.
2617,Other ores and concentrates.
2618,Granulated slag from the manufacture of iron or steel.
2619,"Slag, dross (other than granulated slag)"
2620,Ash and residues
2621,"Other slag and ash, including seaweed ash"
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal."
2702,"Lignite, whether or not agglomerated, excluding jet."
2703,Peat (including peat litter)
2704,"Coke and semi-coke of coal, of lignite or of peat"
2705,"Coal gas, water gas, producer gas and similar gases"
2706,"Tar distilled from coal, from lignite or from peat"
2707,Oils and other products of high temperature coal tar
2708,"Pitch and pitch coke, obtained from coal tar"
2709,"Petroleum oils, crude"
2710,"Petroleum oils, other than crude"
2711,Petroleum gases and other gaseous hydrocarbons.
2712,Petroleum jelly and wax
2713,Petroleum coke and other residues
2714,"Bitumen and asphalt, natural"
2715,Bituminous mixtures based on natural asphalt
2716,Electrical energy. (optional heading)
2801,"Fluorine, chlorine, bromine and iodine."
2802,"Sulphur, sublimed or precipitated"
2803,Carbon
2804,"Hydrogen, rare gases and other non-metals."
2805,Alkali or alkaline-earth metals;
2806,Hydrogen chloride (hydrochloric acid);
2807,Sulphuric acid; oleum.
2808,Nitric acid; sulphonitric acids.
2809,Diphosphorus pentaoxide; phosphoric acid;
2810,Oxides of boron; boric acids.
2811,Other inorganic acids and oxygen compounds
2812,Halides and halide oxides of non-metals.
2813,Sulphides of non-metals; commercial phosphorus trisulphide.
2814,"Ammonia, anhydrous or in aqueous solution."
2815,Sodium hydroxide (caustic soda);
2816,Hydroxide and peroxide of magnesium;
2817,Zinc oxide; zinc peroxide.
2818,"Artificial corundum, whether or not chemically defined;"
2819,Chromium oxides and hydroxides.
2820,Manganese oxides.
2821,Iron oxides and hydroxides
2822,Cobalt oxides and hydroxides
2823,Titanium oxides.
2824,Lead oxides; red lead and orange lead.
2825,Hydrazine and hydroxylamine and their inorganic salts
2826,Fluorides; fluorosilicates and other complex fluorine salts.
2827,"Chlorides, chloride oxides and chloride hydroxides"
2828,Hypochlorites; commercial calcium hypochlorite
2829,Chlorates and perchlorates; bromates and perbromates
2830,Sulphides; polysulphides
2831,Dithionites and sulphoxylates.
2832,Sulphites; thiosulphates.
2833,Sulphates; alums; peroxosulphates (persulphates).
2834,Nitrites; nitrates.
2835,"Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates"
2836,Carbonates; peroxocarbonates (percarbonates)
2837,"Cyanides, cyanide oxides and complex cyanides."
2838,"Fulminates, cyanates and thiocyanates."
2839,Silicates; commercial alkali metal silicates.
2840,Borates; peroxoborates (perborates).
2841,Salts of oxometallic or peroxometallic acids.
2842,Other salts of inorganic acids or peroxoacids
2843,Colloidal precious metals
2844,Radioactive chemical elements and radioactive isotopes
2845,Isotopes other than those of heading 28.44
2846,"Compounds, inorganic or organic, of rare-earth metals"
2847,"Hydrogen peroxide, whether or not solidified with urea"
2848,"Phosphides, excluding ferrophosphorus"
2849,"Carbides, whether or not chemically defined."
2850,"Hydrides, nitrides, azides, silicides and borides"
2851,Other inorganic compounds
2901,Acyclic hydrocarbons.
2902,Cyclic hydrocarbons.
2903,Halogenated derivatives of hydrocarbons.
2904,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons"
2905,Acyclic alcohols and their derivatives
2906,Cyclic alcohols and their derivatives
2907,Phenols; phenol-alcohols.
2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols"
2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols"
2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers"
2911,Acetals and hemiacetals
2912,"Aldehydes, whether or not with other oxygen function"
2913,"Halogenated, sulphonated derivatives of products of heading 29."
2914,Ketones and quinones
2915,Saturated acyclic monocarboxylic acids and their anhydrides
2916,Unsaturated acyclic monocarboxylic acids
2917,"Polycarboxylic acids, their anhydrides"
2918,Carboxylic acids with additional oxygen function
2919,Phosphoric esters and their salts
2920,Esters of other inorganic acids of non-metals
2921,Amine-function compounds
2922,Oxygen-function amino-compounds
2923,Quaternary ammonium salts and hydroxides
2924,Carboxyamide-function compounds
2925,Carboxyimide-function compounds
2926,Nitrile-function compounds.
2927,"Diazo-, azo- or azoxy-compounds"
2928,Organic derivatives of hydrazine or of hydroxylamine.
2929,Compounds with other nitrogen function.
2930,Organo-sulphur compounds.
2931,Other organo-inorganic compounds.
2932,Heterocyclic compounds with oxygen hetero-atom(s) only.
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only.
2934,Nucleic acids and their salts
2935,Sulphonamides.
2936,"Provitamins and vitamins, natural or reproduced by synthesis"
2937,"Hormones, prostaglandins, thromboxanes and leukotrienes"
2938,"Glycosides, natural or reproduced by synthesis"
2939,"Vegetable alkaloids, natural or reproduced by synthesis"
2940,"Sugars, chemically pure, other than sucrose, lactose"
2941,Antibiotics.
2942,Other organic compounds.
3001,"Glands and other organs for organo-therapeutic uses, dried"
3002,Human blood; animal blood prepared for therapeutic uses
3003,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06)"
3004,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06)"
3005,"Wadding, gauze, bandages and similar articles"
3006,Pharmaceutical goods specified in Note 4 to this Chapter.
3101,Animal or vegetable fertilisers
3102,"Mineral or chemical fertilisers, nitrogenous."
3103,"Mineral or chemical fertilisers, phosphatic."
3104,"Mineral or chemical fertilisers, potassic."
3105,Mineral or chemical fertilisers
3201,Tanning extracts of vegetable origin
3202,Synthetic organic tanning substances
3203,Colouring matter of vegetable or animal origin
3204,Synthetic organic colouring matter
3205,Colour lakes; preparations
3206,Other colouring matter
3207,"Prepared pigments, prepared opacifiers and prepared colours"
3208,Paints and varnishes
3209,Paints and varnishes
3210,Other paints and varnishes
3211,Prepared driers.
3212,Pigments dispersed in non-aqueous media
3213,"Artists', students' or signboard painters' colours"
3214,"Glaziers' putty, grafting putty, resin cements"
3215,"Printing ink, writing or drawing ink"
3301,"Essential oils (terpeneless or not), including concretes"
3302,Mixtures of odoriferous substances and mixtures
3303,Perfumes and toilet waters.
3304,Beauty or make-up preparations
3305,Preparations for use on the hair
3306,Preparations for oral or dental hygiene
3307,"Pre-shave, shaving or after-shave preparations"
3401,Soap; organic surface-active products
3402,Organic surface-active agents (other than soap)
3403,Lubricating preparations
3404,Artificial waxes and prepared waxes
3405,"Polishes and creams, for footwear, furniture, floors"
3406,"Candles, tapers and the like."
3407,Modelling pastes
3501,"Casein, caseinates and other casein derivatives; casein glues."
3502,Albumins (including concentrates of two or more whey proteins
3503,Gelatin (including gelatin in rectangular (including square) sheets
3504,Peptones and their derivatives
3505,Dextrins and other modified starches
3506,Prepared glues and other prepared adhesives
3507,Enzymes; prepared enzymes
3601,Propellent powders.
3602,Prepared explosives
3603,Safety fuses; detonating fuses
3604,"Fireworks, signalling flares, rain rockets"
3605,"Matches, other than pyrotechnic articles of heading 36.04."
3606,Ferro-cerium and other pyrophoric alloys in all forms
3701,"Photographic plates and film in the flat, sensitised, unexposed"
3702,"Photographic film in rolls, sensitised, unexposed"
3703,"Photographic paper, paperboard and textiles, sensitised, unexposed."
3704,"Photographic plates, film, paper, paperboard and textiles, exposed"
3705,"Photographic plates and film, exposed and developed"
3706,"Cinematographic film, exposed and developed"
3707,Chemical preparations for photographic uses
3801,Artificial graphite; colloidal or semi-colloidal graphite
3802,Activated carbon; activated natural mineral products
3803,"Tall oil, whether or not refined."
3804,Residual lyes from the manufacture of wood pulp
3805,"Gum, wood or sulphate turpentine and other terpenic oils"
3806,"Rosin and resin acids, and derivatives thereof"
3807,Wood tar; wood tar oils; wood creosote
3808,"Insecticides, rodenticides, fungicides, herbicides"
3809,"Finishing agents, dye carriers to accelerate the dyeing"
3810,Pickling preparations for metal surfaces
3811,"Anti-knock preparations, oxidation inhibitors, gum inhibitors"
3812,Prepared rubber accelerators
3813,Preparations and charges for fire-extinguishers
3814,Organic composite solvents and thinners
3815,"Reaction initiators, reaction accelerators and catalytic preparations"
3816,"Refractory cements, mortars, concretes and similar compositions"
3817,Mixed alkylbenzenes and mixed alkylnaphthalenes
3818,Chemical elements doped for use in electronics
3819,Hydraulic brake fluids and other prepared liquids for hydraulic transmissio ...
3820,Anti-freezing preparations and prepared de-icing fluids.
3821,Prepared culture media for development of micro-organisms.
3822,Diagnostic or laboratory reagents
3823,Industrial monocarboxylic fatty acids
3824,Prepared binders for foundry moulds or cores
3825,Residual products of the chemical or allied industries
3901,"Polymers of ethylene, in primary forms."
3902,"Polymers of propylene or of other olefins, in primary forms."
3903,"Polymers of styrene, in primary forms."
3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary form ..."
3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms"
3906,Acrylic polymers in primary forms.
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms"
3908,Polyamides in primary forms.
3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms."
3910,Silicones in primary forms.
3911,"Petroleum resins, coumarone-indene resins, polyterpenes"
3912,Cellulose and its chemical derivatives
3913,Natural polymers and modified natural polymers
3914,"Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary for ..."
3915,"Waste, parings and scrap, of plastics."
3916,Monofilament of which any cross-sectional dimension exceeds 1 mm
3917,"Tubes, pipes and hoses, and fittings therefor"
3918,Floor coverings of plastics in rolls
3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes ..."
3920,"Other plates, sheets, film, foil and strip, of plastics"
3921,"Other plates, sheets, film, foil and strip, of plastics"
3922,"Baths, shower-baths, sinks, wash-basins, bidets, lavatory pans"
3923,"Articles for the conveyance or packing of goods, of plastics"
3924,"Tableware, kitchenware, other household articles and toilet articles, of pl ..."
3925,"Builders' ware of plastics, not elsewhere specified or included."
3926,Other articles of plastics and articles of other materials of headings 39.0 ...
4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural g ..."
4002,Synthetic rubber and factice derived from oils
4003,"Reclaimed rubber in primary forms or in plates, sheets or strip."
4004,"Waste, parings and scrap of rubber"
4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or s ..."
4006,"Other forms (for example, rods, tubes and profile shapes) and articles"
4007,Vulcanised rubber thread and cord.
4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber"
4009,"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber"
4010,"Conveyor or transmission belts or belting, of vulcanised rubber."
4011,"New pneumatic tyres, of rubber."
4012,Retreaded or used pneumatic tyres of rubber
4013,"Inner tubes, of rubber."
4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber ..."
4015,Articles of apparel and clothing accessories
4016,Other articles of vulcanised rubber other than hard rubber.
4017,"Hard rubber (for example, ebonite) in all forms, including waste and scrap"
4101,Raw hides and skins of bovine (including buffalo) or equine animals
4102,Raw skins of sheep or lambs
4103,Other raw hides and skins
4104,Tanned or crust hides and skins of bovine (including buffalo)
4105,"Tanned or crust skins of sheep or lambs, without wool on"
4106,"Tanned or crust hides and skins of other animals, without wool or hair on"
4107,Leather further prepared after tanning or crusting
4112,Leather further prepared after tanning or crusting
4113,Leather further prepared after tanning or crusting
4114,Chamois (including combination chamois) leather
4115,Composition leather with a basis of leather or leather fibre
4201,Saddlery and harness for any animal
4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases"
4203,"Articles of apparel and clothing accessories, of leather"
4204,Articles of leather or of composition leather
4205,Other articles of leather or of composition leather.
4206,Articles of gut (other than silk-worm gut)
4301,"Raw furskins (including heads, tails, paws and other pieces or cuttings"
4302,"Tanned or dressed furskins (including heads, tails, paws and other pieces o ..."
4303,"Articles of apparel, clothing accessories and other articles of furskin."
4304,Artificial fur and articles thereof.
4401,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
4402,"Wood charcoal (including shell or nut charcoal), whether or not agglomerate ..."
4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly s ..."
4404,"Hoopwood; split poles; piles, pickets and stakes of wood"
4405,Wood wool; wood flour.
4406,Railway or tramway sleepers (cross-ties) of wood.
4407,"Wood sawn or chipped lengthwise, sliced or peeled"
4408,Sheets for veneering
4409,"Wood (including strips and friezes for parquet flooring, not assembled)"
4410,Particle board and similar board
4411,Fibreboard of wood or other ligneous materials
4412,"Plywood, veneered panels and similar laminated wood."
4413,"Densified wood, in blocks, plates, strips or profile shapes."
4414,"Wooden frames for paintings, photographs, mirrors or similar objects."
4415,"Packing cases, boxes, crates, drums and similar packings, of wood"
4416,"Casks, barrels, vats, tubs and other coopers' products"
4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of woo ..."
4418,Builders' joinery and carpentry of wood
4419,"Tableware and kitchenware, of wood."
4420,Wood marquetry and inlaid wood
4421,Other articles of wood.
4501,"Natural cork, raw or simply prepared; waste cork"
4502,"Natural cork, debacked or roughly squared"
4503,Articles of natural cork.
4504,Agglomerated cork (with or without a binding substance)
4601,Plaits and similar products of plaiting materials
4602,"Basketwork, wickerwork and other articles"
4701,Mechanical wood pulp.
4702,"Chemical wood pulp, dissolving grades."
4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades."
4704,"Chemical wood pulp, sulphite, other than dissolving grades."
4705,Wood pulp obtained by a combination of mechanical and chemical pulping proc ...
4706,Pulps of fibres derived from recovered (waste and scrap) paper
4707,Recovered (waste and scrap) paper or paperboard.
4801,"Newsprint, in rolls or sheets."
4802,"Uncoated paper and paperboard, of a kind used for writing"
4803,"Toilet or facial tissue stock, towel or napkin stock"
4804,"Uncoated kraft paper and paperboard, in rolls or sheets"
4805,"Other uncoated paper and paperboard, in rolls or sheets"
4806,"Vegetable parchment, greaseproof papers"
4807,Composite paper and paperboard
4808,"Paper and paperboard, corrugated"
4809,"Carbon paper, self-copy paper and other copying or transfer papers"
4810,"Paper and paperboard, coated on one or both sides with kaolin"
4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibres"
4812,"Filter blocks, slabs and plates, of paper pulp."
4813,"Cigarette paper, whether or not cut to size or in the form of booklets or t ..."
4814,Wallpaper and similar wall coverings; window transparencies of paper.
